Quality Score,Count,Proportion (%)
100.0,286,51.53
95.0,8,1.44
90.0,189,34.05
85.0,9,1.62
80.0,43,7.75
75.0,1,0.18
71.0,1,0.18
70.0,7,1.26
68.5,1,0.18
64.0,1,0.18
61.0,1,0.18
60.0,3,0.54
58.5,1,0.18
54.0,1,0.18
45.0,2,0.36
44.0,1,0.18
