2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:04:24 | DEBUG   | fetch_abnormal_return:1146 |   AR MSFT: stock=+2.62% SPY=+2.00% abnormal=+0.62%
2026-05-11 23:04:24 | INFO    | process_company:3828 |     AR: +0.62% (neutral)
2026-05-11 23:04:33 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:04:33 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 5094 chars
2026-05-11 23:04:33 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:04:33 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:04:33 | INFO    | process_company:3898 |     Metrics:43 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:04:35 | DEBUG   | generate_analysis_v19:3287 |     V19-3 Rewrite not better: 55 < 80 — keeping original
2026-05-11 23:04:35 | INFO    | generate_analysis_v19:3297 |     V18-3 Self-correction: causal=6 (need 3), missing=['net_income_yoy']
2026-05-11 23:04:41 | DEBUG   | _call_llm_once:3107 |     LLM OK — Self-Correction attempt 1/5 | llm_calls=14, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:04:41 | INFO    | generate_analysis_v19:3309 |     ✓ Self-correction improved: 80 → 80
2026-05-11 23:04:41 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=80|tier=silver|auditor_cycles=2|causal=6]: 2038 chars
2026-05-11 23:04:41 | INFO    | process_company:3811 |   ▶ 10-K | 2022-09-24 | 0000320193-22-000108
2026-05-11 23:04:42 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=-11.00% SPY=-3.26% abnormal=-7.74%
2026-05-11 23:04:42 | INFO    | process_company:3828 |     AR: -7.74% (strong_negative)
2026-05-11 23:04:45 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:04:45 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4854 chars
2026-05-11 23:04:45 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:04:45 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:04:45 | INFO    | process_company:3898 |     Metrics:47 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:04:45 | INFO    | process_company:3932 |     ⚠ Liquidity paradox: CR=0.88 + Cash=$23.6B | Risk=HIGH
2026-05-11 23:04:58 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 560 chars, 3 connectors
2026-05-11 23:05:00 | DEBUG   | generate_analysis_v19:3187 |     Stage A: 593 chars, 7 connectors
2026-05-11 23:05:11 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=17, throttled=2, rpm=40/40, backoff=1.00, workers=2
