Quality Score,Count,Proportion (%)
100.0,277,27.62
95.0,7,0.7
90.0,508,50.65
85.0,23,2.29
80.0,138,13.76
75.0,7,0.7
70.0,30,2.99
65.5,1,0.1
65.0,1,0.1
62.0,1,0.1
60.0,9,0.9
55.0,1,0.1
