2026-05-19 16:34:07 | INFO    | build_dataset:4656 | Resume mode: 0 tickers done, 100 remaining, 0 accessions cached
2026-05-19 16:34:07 | INFO    | process_company:4172 | ══ AAPL (Apple Inc) ══
2026-05-19 16:34:07 | INFO    | process_company:4172 | ══ MSFT (Microsoft Corp) ══
2026-05-19 18:07:24 | INFO    | process_company:4509 |     ✓ FULL [10-K|Q=100|tier=gold|auditor=0|causal=15|segs=8|xref=OK]: 3521 chars
2026-05-19 18:13:54 | WARNING | process_company:4517 |     ✗ No analysis generated for MSFT 2022-06-30
2026-05-19 18:13:54 | INFO    | process_company:4211 |   ▶ 10-K | 2023-06-30 | 0000950170-23-035122
2026-05-19 18:14:01 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 18:14:01 | INFO    | process_company:4259 |     V20-3 Segments found: 5 — ['Note', 'primarily Office', 'Revenue from Office', 'Item', 'Office']
2026-05-19 18:14:01 | INFO    | process_company:4291 |     Metrics:45 | decum:False | text_sourced:0 | scaling:millions | segments:5 | sections:2
2026-05-19 18:57:44 | DEBUG   | _write_tiered:4117 |   Demoted gold→silver: missing abnormal return label
2026-05-19 18:57:44 | INFO    | process_company:4509 |     ✓ FULL [10-K|Q=100|tier=gold|auditor=0|causal=21|segs=5|xref=OK]: 4069 chars
2026-05-19 18:57:45 | INFO    | process_company:4211 |   ▶ 10-K | 2024-06-30 | 0000950170-24-087843
2026-05-19 18:57:59 | DEBUG   | process_company:4252 |     V20-5 Scaling: millions
2026-05-19 18:57:59 | INFO    | process_company:4259 |     V20-3 Segments found: 5 — ['Note', 'primarily Office', 'Revenue from Office', 'Item', 'Office']
2026-05-19 18:57:59 | INFO    | process_company:4291 |     Metrics:45 | decum:False | text_sourced:0 | scaling:millions | segments:5 | sections:2
2026-05-19 19:16:01 | INFO    | build_multiyear_records:4099 |     ✓ 3yr 2021-09-25→2023-09-30: 4448 chars
