2026-05-10 16:32:26 | INFO    | process_company:2764 |   ▶ 10-K | 2023-01-29 | 0001045810-23-000017
2026-05-10 16:32:27 | DEBUG   | fetch_abnormal_return:730 |   AR NVDA: stock=+2.59% SPY=+1.97% abnormal=+0.62%
2026-05-10 16:32:27 | INFO    | process_company:2777 |     AR: +0.62% (neutral)
2026-05-10 16:32:30 | DEBUG   | generate_analysis_v18:2302 |     Stage A: 817 chars, 4 causal
2026-05-10 16:32:32 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:32:33 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 3228 chars
2026-05-10 16:32:33 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:32:33 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:32:33 | INFO    | process_company:2823 |     Metrics: 45 | decum: False | text_sections: 2
2026-05-10 16:32:36 | DEBUG   | generate_analysis_v18:2302 |     Stage A: 695 chars, 0 causal
2026-05-10 16:32:38 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:32:38 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 5094 chars
2026-05-10 16:32:39 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:32:39 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:32:39 | INFO    | process_company:2823 |     Metrics: 43 | decum: False | text_sections: 2
2026-05-10 16:32:39 | INFO    | process_company:2928 |     ✓ [FULL|Q=100|tier=gold|gold=True|decum=False|qa=True|path=Balance Sheet → Leverage → FCF Coverage ]: 2062 chars
2026-05-10 16:32:39 | INFO    | process_company:2764 |   ▶ 10-K | 2023-09-30 | 0000320193-23-000106
2026-05-10 16:32:40 | DEBUG   | fetch_abnormal_return:730 |   AR AAPL: stock=+5.66% SPY=+1.36% abnormal=+4.30%
2026-05-10 16:32:40 | INFO    | process_company:2777 |     AR: +4.30% (positive)
2026-05-10 16:32:41 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:32:41 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 5045 chars
2026-05-10 16:32:41 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:32:41 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:32:41 | INFO    | process_company:2823 |     Metrics: 47 | decum: False | text_sections: 2
2026-05-10 16:32:41 | INFO    | process_company:2850 |     ⚠ Liquidity paradox: CR=0.99 + Cash=$30.0B | Risk=HIGH
2026-05-10 16:32:43 | DEBUG   | generate_analysis_v18:2302 |     Stage A: 972 chars, 3 causal
2026-05-10 16:32:47 | INFO    | process_company:2928 |     ✓ [FULL|Q=100|tier=gold|gold=True|decum=False|qa=True|path=Revenue Trend → Margin Structure → Lever]: 2173 chars
2026-05-10 16:32:51 | INFO    | process_company:2950 |     ✓ Negative examples: 1 scenarios
2026-05-10 16:32:51 | INFO    | process_company:2764 |   ▶ 10-K | 2024-01-28 | 0001045810-24-000029
2026-05-10 16:32:51 | INFO    | process_company:2928 |     ✓ [FULL|Q=90|tier=gold|gold=True|decum=False|qa=True|path=Revenue Trend → Margin Structure → Cash ]: 2181 chars
2026-05-10 16:32:51 | DEBUG   | process_company:2934 |     Elite rejections: ['REQ-7: invalid/incomplete investment signal']
2026-05-10 16:32:51 | INFO    | process_company:2764 |   ▶ 10-K | 2023-06-30 | 0000950170-23-035122
2026-05-10 16:32:51 | DEBUG   | fetch_abnormal_return:730 |   AR NVDA: stock=+15.10% SPY=+1.82% abnormal=+13.28%
2026-05-10 16:32:51 | INFO    | process_company:2777 |     AR: +13.28% (strong_positive)
2026-05-10 16:32:52 | DEBUG   | fetch_abnormal_return:730 |   AR MSFT: stock=-1.23% SPY=-0.81% abnormal=-0.42%
2026-05-10 16:32:52 | INFO    | process_company:2777 |     AR: -0.42% (neutral)
2026-05-10 16:32:55 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:32:55 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 5664 chars
2026-05-10 16:32:55 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:32:55 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:32:55 | INFO    | process_company:2823 |     Metrics: 45 | decum: False | text_sections: 2
2026-05-10 16:32:55 | WARNING | process_company:2840 |     ✗ SANITY BLOCK: 3 rule(s). Action: BLOCK.
2026-05-10 16:32:55 | WARNING | process_company:2955 |     ✗ LLM skipped — sanity BLOCK
2026-05-10 16:32:55 | INFO    | process_company:2764 |   ▶ 10-K | 2025-01-26 | 0001045810-25-000023
2026-05-10 16:32:57 | DEBUG   | generate_analysis_v18:2302 |     Stage A: 639 chars, 1 causal
2026-05-10 16:32:58 | DEBUG   | fetch_abnormal_return:730 |   AR NVDA: stock=-10.65% SPY=-1.93% abnormal=-8.72%
2026-05-10 16:32:58 | INFO    | process_company:2777 |     AR: -8.72% (strong_negative)
2026-05-10 16:33:02 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:33:02 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 3260 chars
2026-05-10 16:33:02 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:33:02 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:33:02 | INFO    | process_company:2823 |     Metrics: 44 | decum: False | text_sections: 2
2026-05-10 16:33:02 | WARNING | process_company:2840 |     ✗ SANITY BLOCK: 2 rule(s). Action: BLOCK.
2026-05-10 16:33:02 | WARNING | process_company:2955 |     ✗ LLM skipped — sanity BLOCK
2026-05-10 16:33:02 | INFO    | process_company:2764 |   ▶ 10-K | 2026-01-25 | 0001045810-26-000021
2026-05-10 16:33:03 | DEBUG   | fetch_abnormal_return:730 |   AR NVDA: stock=-6.40% SPY=-1.16% abnormal=-5.25%
2026-05-10 16:33:03 | INFO    | process_company:2777 |     AR: -5.25% (strong_negative)
2026-05-10 16:33:06 | INFO    | process_company:2928 |     ✓ [FULL|Q=100|tier=gold|gold=True|decum=False|qa=True|path=Balance Sheet → Liquidity → Paradox → Ri]: 2240 chars
2026-05-10 16:33:06 | INFO    | process_company:2764 |   ▶ 10-K | 2024-09-28 | 0000320193-24-000123
2026-05-10 16:33:06 | DEBUG   | fetch_abnormal_return:730 |   AR AAPL: stock=+1.93% SPY=+4.75% abnormal=-2.83%
2026-05-10 16:33:06 | INFO    | process_company:2777 |     AR: -2.83% (negative)
2026-05-10 16:33:08 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:33:08 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 5631 chars
2026-05-10 16:33:08 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:33:08 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:33:08 | INFO    | process_company:2823 |     Metrics: 43 | decum: False | text_sections: 2
