2026-05-27 17:27:41 | INFO    | <module>:4619 | v21 RAG | tickers=1 | forms=['10-K', '10-Q'] | max_per_form=8 | filings_root=filings | resume=True
2026-05-27 17:27:41 | INFO    | build_filing_manifest:282 | Filing manifest: 13 tickers, 365 HTML files
2026-05-27 17:27:41 | INFO    | build_dataset_v21:4338 | Pre-indexing local filings into Qdrant…
2026-05-27 17:28:48 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:48 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:48 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2022-06-25 (10-Q_2022-06-25_0000320193-22-000070.html)
2026-05-27 17:28:50 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2022-06-25 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:50 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:50 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:50 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2022-12-31 (10-Q_2022-12-31_0000320193-23-000006.html)
2026-05-27 17:28:51 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2022-12-31 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:51 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:51 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:51 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2023-09-30 (10-K_2023-09-30_0000320193-23-000106.html)
2026-05-27 17:28:52 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2023-09-30 10-K: 6 sections → 12 chunks
2026-05-27 17:28:57 | DEBUG   | upsert_chunks:826 |   Upserted 12 chunks to Qdrant
2026-05-27 17:28:57 | INFO    | index_filing:1042 |   → 12 chunks indexed
2026-05-27 17:28:57 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2023-04-01 (10-Q_2023-04-01_0000320193-23-000064.html)
2026-05-27 17:28:57 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2023-04-01 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:58 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:58 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:58 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2023-07-01 (10-Q_2023-07-01_0000320193-23-000077.html)
2026-05-27 17:28:58 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2023-07-01 10-Q: 4 sections → 6 chunks
2026-05-27 17:28:59 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:28:59 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:28:59 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2023-12-30 (10-Q_2023-12-30_0000320193-24-000006.html)
2026-05-27 17:29:00 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2023-12-30 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:00 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:00 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:00 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2024-09-28 (10-K_2024-09-28_0000320193-24-000123.html)
2026-05-27 17:29:01 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2024-09-28 10-K: 6 sections → 12 chunks
2026-05-27 17:29:06 | DEBUG   | upsert_chunks:826 |   Upserted 12 chunks to Qdrant
2026-05-27 17:29:06 | INFO    | index_filing:1042 |   → 12 chunks indexed
2026-05-27 17:29:06 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2024-03-30 (10-Q_2024-03-30_0000320193-24-000069.html)
2026-05-27 17:29:07 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2024-03-30 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:07 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:07 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:07 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2024-06-29 (10-Q_2024-06-29_0000320193-24-000081.html)
2026-05-27 17:29:08 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2024-06-29 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:08 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:08 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:08 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2024-12-28 (10-Q_2024-12-28_0000320193-25-000008.html)
2026-05-27 17:29:08 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2024-12-28 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:09 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:09 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:09 | INFO    | index_filing:1020 |   Indexing AAPL 10-K 2025-09-27 (10-K_2025-09-27_0000320193-25-000079.html)
2026-05-27 17:29:10 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2025-09-27 10-K: 6 sections → 12 chunks
2026-05-27 17:29:14 | DEBUG   | upsert_chunks:826 |   Upserted 12 chunks to Qdrant
2026-05-27 17:29:14 | INFO    | index_filing:1042 |   → 12 chunks indexed
2026-05-27 17:29:14 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2025-03-29 (10-Q_2025-03-29_0000320193-25-000057.html)
2026-05-27 17:29:15 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2025-03-29 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:15 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:15 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:15 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2025-06-28 (10-Q_2025-06-28_0000320193-25-000073.html)
2026-05-27 17:29:16 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2025-06-28 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:16 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:16 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:16 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2025-12-27 (10-Q_2025-12-27_0000320193-26-000006.html)
2026-05-27 17:29:16 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2025-12-27 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:16 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:16 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:16 | INFO    | index_filing:1020 |   Indexing AAPL 10-Q 2026-03-28 (10-Q_2026-03-28_0000320193-26-000013.html)
2026-05-27 17:29:17 | DEBUG   | chunk_filing:705 |   Chunked AAPL 2026-03-28 10-Q: 4 sections → 6 chunks
2026-05-27 17:29:17 | DEBUG   | upsert_chunks:826 |   Upserted 6 chunks to Qdrant
2026-05-27 17:29:17 | INFO    | index_filing:1042 |   → 6 chunks indexed
2026-05-27 17:29:17 | INFO    | build_dataset_v21:4343 | Total chunks indexed: 213
2026-05-27 17:29:17 | INFO    | build_dataset_v21:4352 | Resume mode: 0 tickers done, 1 remaining
2026-05-27 17:29:17 | INFO    | process_company_v21:3921 | ══ AAPL (Apple Inc) ══
2026-05-27 17:29:19 | INFO    | load_xbrl_facts:2182 |   XBRL: 503 GAAP + 2 DEI
