id,ticker,score,metrics_count,confidence,hallucination,sanity_action,paradox,text_filled
1268835e4505,FITB,70.0,26,LOW,False,pass,False,4
2943a839caca,CFG,65.0,23,LOW,False,pass,False,2
d8f677572376,HBAN,70.0,0,LOW,False,unknown,False,1
06ea056a0974,RF,75.0,27,LOW,False,pass,False,2
41aaf4430e06,RF,70.0,24,LOW,False,pass,False,2
c6de9d43834f,RF,70.0,24,LOW,False,pass,False,2
e3a3b15e7da1,RF,70.0,23,LOW,False,pass,False,3
44cc96fe02ff,SYF,75.0,24,LOW,False,pass,False,2
b6c6967be166,SYF,70.0,23,LOW,False,pass,False,2
d46dc70d7092,RF,70.0,22,LOW,False,pass,False,3
c558018587e4,SYF,65.0,23,LOW,False,pass,False,2
6973a95c1619,RF,65.0,22,LOW,False,pass,False,3
564e7c2740df,SYF,70.0,24,LOW,False,pass,False,3
a463d0f0f4e4,SYF,70.0,23,LOW,False,pass,False,3
3220f32bbb61,SYF,70.0,23,LOW,False,pass,False,3
3863b9538dc7,MTB,70.0,26,LOW,False,pass,False,4
502b3a3e97b4,MTB,70.0,26,LOW,False,pass,False,3
358212ddf305,MTB,70.0,0,LOW,False,unknown,False,1
a3a40def74f8,FISV,70.0,31,LOW,False,pass,False,4
2b6b0c8d4115,GPN,57.0,0,LOW,False,unknown,False,1
c704a0219992,PGR,70.0,0,LOW,False,unknown,False,1
410b58da509c,PGR,75.0,0,LOW,False,unknown,False,1
c029005cacbc,PGR,68.5,0,LOW,False,unknown,False,1
7b822bb0ebe2,ALL,75.0,0,LOW,False,unknown,False,1
1dfc76b66a05,AIG,70.0,28,LOW,False,flag,False,2
c5d72a8d2911,AIG,50.0,0,LOW,False,unknown,False,1
eff904d992c2,CB,70.0,25,LOW,False,pass,False,3
3bcb488a406b,AFL,70.0,24,LOW,False,flag,False,3
7eae1880bd64,CB,70.0,0,LOW,False,unknown,False,1
34181657cd6d,AJG,70.0,29,LOW,False,pass,False,3
12b4a6873e1f,WTW,75.0,33,LOW,False,pass,False,2
fced82cf4fa7,BRO,45.0,0,LOW,False,unknown,False,1
71a29a3fd460,WTW,55.0,0,LOW,False,unknown,False,1
b47ff1e22250,WTW,70.0,0,LOW,False,unknown,False,1
94cc32fef5b3,WRB,70.0,24,LOW,False,pass,False,3
d847d4e46b94,CINF,70.0,0,LOW,False,unknown,False,1
cea92cdbe63d,WRB,70.0,0,LOW,False,unknown,False,1
1a3e8791a6c0,PFG,78.5,0,LOW,False,unknown,False,1
d52499b61604,RJF,70.0,24,LOW,False,pass,False,3
61003d587ced,BEN,67.0,0,LOW,False,unknown,False,1
c03247acc477,AIZ,68.0,0,LOW,False,unknown,False,1
638d6b6f17b9,MKTX,45.0,0,LOW,False,unknown,False,1
d173b3173692,LPLA,70.0,0,LOW,False,unknown,False,1
018fe2063d03,LPLA,60.0,0,LOW,False,unknown,False,1
1e6fe668d96b,CMA,70.0,22,LOW,False,pass,False,2
a23244c66901,CMA,60.0,21,LOW,False,pass,False,2
ec05d10522f3,CMA,70.0,21,LOW,False,pass,False,3
bf96c7f0d9fa,CMA,65.0,0,LOW,False,unknown,False,1
a42d04a03fbd,BR,70.0,0,LOW,False,unknown,False,1
0f06fd6a2051,LLY,70.0,35,LOW,False,flag,False,2
051ec959dc60,BX,70.0,0,LOW,False,unknown,False,1
82becd76e5af,JNJ,70.0,41,LOW,False,pass,False,3
77b161908ea7,JNJ,64.0,0,LOW,False,unknown,False,1
1cd56da5fa88,TMO,70.0,0,LOW,False,unknown,False,1
1b432d6dcd88,TMO,60.0,0,LOW,False,unknown,False,1
dc1392b34b56,ISRG,70.0,38,LOW,False,pass,False,2
44dca0e1f781,ISRG,46.5,0,LOW,False,unknown,False,1
cb3848242a53,ISRG,54.0,0,LOW,False,unknown,False,1
2215bfadb345,CI,70.0,30,LOW,False,pass,True,3
02635317684a,CI,60.0,0,LOW,False,unknown,False,1
876dd6933506,GILD,70.0,0,LOW,False,unknown,False,1
816298b11409,CVS,70.0,0,LOW,False,unknown,False,1
876519fc02ef,CVS,63.5,0,LOW,False,unknown,False,1
36e804455874,HUM,70.0,0,LOW,False,unknown,False,1
004a0dc7e15b,MRNA,72.5,0,LOW,False,unknown,False,1
1d949c86bebe,BIIB,70.0,0,LOW,False,unknown,False,1
456e89c3a638,BIIB,45.0,0,LOW,False,unknown,False,1
760ac5ebbb76,ZTS,68.5,0,LOW,False,unknown,False,1
300797d96de5,ZTS,65.0,0,LOW,False,unknown,False,1
d910e987ff82,COR,45.0,0,LOW,False,unknown,False,1
3a41fc5f73a2,BAX,75.0,0,LOW,False,unknown,False,1
709ae748701a,RMD,63.0,0,LOW,False,unknown,False,1
d8f179ca2c4d,HCA,70.0,0,LOW,False,unknown,False,1
9d83d6edc2e1,CNC,58.5,0,LOW,False,unknown,False,1
699f84952cc5,IDXX,67.0,0,LOW,False,unknown,False,1
aa8ac048f785,HOLX,54.0,0,LOW,False,unknown,False,1
06c6e87c91be,PODD,72.5,0,LOW,False,unknown,False,1
095456ec4f2d,TECH,45.0,0,LOW,False,unknown,False,1
46bc90c0c798,TECH,70.0,0,LOW,False,unknown,False,1
565c7a8da5e3,BRKR,36.5,0,LOW,False,unknown,False,1
37f5f5cc6351,MEDP,71.0,0,LOW,False,unknown,False,1
