Quality Score,Count,Proportion (%)
100.0,702,52.39
95.0,13,0.97
90.0,398,29.7
85.0,14,1.04
80.0,132,9.85
78.5,1,0.07
75.0,6,0.45
72.5,2,0.15
71.0,1,0.07
70.0,41,3.06
68.5,2,0.15
68.0,1,0.07
67.0,2,0.15
65.0,5,0.37
64.0,1,0.07
63.5,1,0.07
63.0,1,0.07
60.0,4,0.3
58.5,1,0.07
57.0,1,0.07
55.0,1,0.07
54.0,2,0.15
50.0,1,0.07
46.5,1,0.07
45.0,5,0.37
36.5,1,0.07
