Quality Score,Count,Proportion (%)
100.0,127,19.94
95.0,14,2.2
90.0,255,40.03
85.0,30,4.71
80.0,139,21.82
75.0,8,1.26
74.0,1,0.16
72.5,1,0.16
71.0,1,0.16
70.0,41,6.44
69.5,1,0.16
68.5,1,0.16
65.5,1,0.16
65.0,2,0.31
62.5,1,0.16
60.0,6,0.94
59.5,1,0.16
52.5,1,0.16
51.0,1,0.16
43.0,1,0.16
40.0,1,0.16
38.0,1,0.16
37.5,1,0.16
20.0,1,0.16
